epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2053.08,1.53489,2.28488,1.44499,0.42093,0.16431,0.14658,0.09368,1.6549,2.39195,1.56695,3.32672e-05,3.32672e-05,0.0667661
2,3442.93,1.48349,2.09969,1.40938,0.49396,0.21409,0.21315,0.13938,1.49282,2.1155,1.46297,6.65355e-05,6.65355e-05,0.033466
3,4701.66,1.45815,2.00915,1.39048,0.53231,0.25167,0.24936,0.16227,1.42179,1.86387,1.3926,9.95438e-05,9.95438e-05,0.000165681
4,5972.78,1.44322,1.95614,1.37771,0.49563,0.25546,0.2561,0.16607,1.42105,1.8006,1.3748,9.91232e-05,9.91232e-05,9.91232e-05
5,7149.92,1.42661,1.90105,1.37235,0.48071,0.25177,0.25078,0.16368,1.38922,1.75549,1.37929,9.84449e-05,9.84449e-05,9.84449e-05
6,8796.09,1.42241,1.87467,1.36834,0.51161,0.24099,0.24837,0.16175,1.41301,1.78464,1.38622,9.75773e-05,9.75773e-05,9.75773e-05
7,10121.9,1.4157,1.83974,1.36028,0.47743,0.25534,0.2609,0.16987,1.39955,1.72705,1.36929,9.65239e-05,9.65239e-05,9.65239e-05
8,11595.6,1.41428,1.81404,1.35721,0.4653,0.27005,0.25402,0.1632,1.38737,1.73276,1.36246,9.52889e-05,9.52889e-05,9.52889e-05
9,12995.4,1.40306,1.79012,1.34907,0.48559,0.25092,0.24808,0.16133,1.37316,1.69545,1.35621,9.38772e-05,9.38772e-05,9.38772e-05
10,14514.9,1.40392,1.77117,1.34767,0.45962,0.2712,0.25665,0.16427,1.38056,1.68249,1.34664,9.22942e-05,9.22942e-05,9.22942e-05
11,15970.6,1.39273,1.75096,1.34283,0.46563,0.2861,0.27576,0.17729,1.37039,1.64708,1.35127,9.05463e-05,9.05463e-05,9.05463e-05
12,17340.4,1.39086,1.73022,1.34093,0.45968,0.28447,0.2731,0.17507,1.37608,1.63751,1.34719,8.86404e-05,8.86404e-05,8.86404e-05
13,18733.8,1.38864,1.72366,1.33852,0.47161,0.27997,0.277,0.17913,1.36812,1.64087,1.35137,8.65839e-05,8.65839e-05,8.65839e-05
14,20141.3,1.38434,1.69853,1.33634,0.47328,0.26832,0.27126,0.1745,1.37374,1.6464,1.3593,8.43851e-05,8.43851e-05,8.43851e-05
15,21621.6,1.37853,1.68714,1.33021,0.49849,0.27906,0.28089,0.18103,1.35837,1.59959,1.3428,8.20525e-05,8.20525e-05,8.20525e-05
16,23045.5,1.37752,1.67057,1.32817,0.48726,0.27378,0.27839,0.17948,1.3673,1.60854,1.34828,7.95954e-05,7.95954e-05,7.95954e-05
17,24392.9,1.37076,1.65932,1.32604,0.48584,0.27773,0.28032,0.18208,1.36041,1.58963,1.33445,7.70234e-05,7.70234e-05,7.70234e-05
18,25754.2,1.36204,1.6482,1.3215,0.48355,0.27656,0.27352,0.17676,1.35985,1.5907,1.34086,7.43468e-05,7.43468e-05,7.43468e-05
19,27204.8,1.36913,1.63846,1.32033,0.47888,0.29701,0.29314,0.19018,1.35815,1.5734,1.33005,7.15761e-05,7.15761e-05,7.15761e-05
20,28637.1,1.36348,1.6287,1.31912,0.46679,0.29767,0.28857,0.18532,1.35426,1.56571,1.33471,6.87222e-05,6.87222e-05,6.87222e-05
21,30140.1,1.35828,1.61006,1.31403,0.47095,0.30519,0.29732,0.19246,1.34853,1.56042,1.32659,6.57963e-05,6.57963e-05,6.57963e-05
22,31700.3,1.35508,1.60758,1.31216,0.48535,0.29755,0.2982,0.19483,1.34942,1.54975,1.32554,6.28101e-05,6.28101e-05,6.28101e-05
23,33177.4,1.35013,1.59408,1.31011,0.48355,0.28012,0.27766,0.18006,1.34686,1.54317,1.32864,5.97754e-05,5.97754e-05,5.97754e-05
24,34669.9,1.3475,1.58614,1.30956,0.49256,0.29397,0.29643,0.19175,1.34276,1.53984,1.32491,5.6704e-05,5.6704e-05,5.6704e-05
25,36101.4,1.35158,1.57371,1.30719,0.48529,0.2901,0.29139,0.18909,1.3435,1.53533,1.32485,5.36081e-05,5.36081e-05,5.36081e-05
26,37636,1.33717,1.56187,1.30136,0.47383,0.29552,0.29025,0.18747,1.34288,1.52766,1.32512,5.05e-05,5.05e-05,5.05e-05
27,39132.9,1.34276,1.55789,1.30285,0.49056,0.30182,0.29488,0.19079,1.3416,1.5205,1.31808,4.73919e-05,4.73919e-05,4.73919e-05
